,author,feature,token_id,doc_id,to_report,doc_tested,len
49937,DtrH,7971,31067,DtrH|2Kgs.17,True,2Kgs.17,530
49938,DtrH,413,31068,DtrH|2Kgs.17,True,2Kgs.17,530
49939,DtrH,[Sp2mp],31068,DtrH|2Kgs.17,True,2Kgs.17,530
49940,DtrH,3027,31069,DtrH|2Kgs.17,True,2Kgs.17,530
49941,DtrH,b,31069,DtrH|2Kgs.17,True,2Kgs.17,530
49942,DtrH,5650,31070,DtrH|2Kgs.17,True,2Kgs.17,530
49943,DtrH,[Sp1cs],31070,DtrH|2Kgs.17,True,2Kgs.17,530
49944,DtrH,d,31071,DtrH|2Kgs.17,True,2Kgs.17,530
49945,DtrH,5030,31071,DtrH|2Kgs.17,True,2Kgs.17,530
49946,DtrH,c,31072,DtrH|2Kgs.17,True,2Kgs.17,530
49947,DtrH,3808,31072,DtrH|2Kgs.17,True,2Kgs.17,530
49948,DtrH,8085,31073,DtrH|2Kgs.17,True,2Kgs.17,530
49949,DtrH,c,31074,DtrH|2Kgs.17,True,2Kgs.17,530
49950,DtrH,7185,31074,DtrH|2Kgs.17,True,2Kgs.17,530
49951,DtrH,853,31075,DtrH|2Kgs.17,True,2Kgs.17,530
49952,DtrH,[Sp3mp],31076,DtrH|2Kgs.17,True,2Kgs.17,530
49953,DtrH,6203,31076,DtrH|2Kgs.17,True,2Kgs.17,530
49954,DtrH,6203,31077,DtrH|2Kgs.17,True,2Kgs.17,530
49955,DtrH,k,31077,DtrH|2Kgs.17,True,2Kgs.17,530
49956,DtrH,1,31078,DtrH|2Kgs.17,True,2Kgs.17,530
49957,DtrH,[Sp3mp],31078,DtrH|2Kgs.17,True,2Kgs.17,530
49958,DtrH,834,31079,DtrH|2Kgs.17,True,2Kgs.17,530
49959,DtrH,3808,31080,DtrH|2Kgs.17,True,2Kgs.17,530
49960,DtrH,539,31081,DtrH|2Kgs.17,True,2Kgs.17,530
49961,DtrH,<Np>,31082,DtrH|2Kgs.17,True,2Kgs.17,530
49962,DtrH,b,31082,DtrH|2Kgs.17,True,2Kgs.17,530
49963,DtrH,430,31083,DtrH|2Kgs.17,True,2Kgs.17,530
49964,DtrH,[Sp3mp],31083,DtrH|2Kgs.17,True,2Kgs.17,530
49965,DtrH,3988,31084,DtrH|2Kgs.17,True,2Kgs.17,530
49966,DtrH,c,31084,DtrH|2Kgs.17,True,2Kgs.17,530
49967,DtrH,853,31085,DtrH|2Kgs.17,True,2Kgs.17,530
49968,DtrH,[Sp3ms],31086,DtrH|2Kgs.17,True,2Kgs.17,530
49969,DtrH,2706,31086,DtrH|2Kgs.17,True,2Kgs.17,530
49970,DtrH,c,31087,DtrH|2Kgs.17,True,2Kgs.17,530
49971,DtrH,853,31087,DtrH|2Kgs.17,True,2Kgs.17,530
49972,DtrH,[Sp3ms],31088,DtrH|2Kgs.17,True,2Kgs.17,530
49973,DtrH,1285,31088,DtrH|2Kgs.17,True,2Kgs.17,530
49974,DtrH,834,31089,DtrH|2Kgs.17,True,2Kgs.17,530
49975,DtrH,3772,31090,DtrH|2Kgs.17,True,2Kgs.17,530
49976,DtrH,854,31091,DtrH|2Kgs.17,True,2Kgs.17,530
49977,DtrH,[Sp3mp],31092,DtrH|2Kgs.17,True,2Kgs.17,530
49978,DtrH,1,31092,DtrH|2Kgs.17,True,2Kgs.17,530
49979,DtrH,853,31093,DtrH|2Kgs.17,True,2Kgs.17,530
